trip_id,origin_station,destination_station,departure_min,arrival_min,departure_time,arrival_time,distance_km,min_turnaround_min
T106,S2,S10,1064,1076,17:44,17:56,14.3,15
T095,S5,S7,1076,1156,17:56,19:16,86.0,20
T002,S10,S8,1080,1130,18:00,18:50,40.7,20
T004,S11,S7,1092,1187,18:12,19:47,84.1,30
T048,S2,S10,1093,1105,18:13,18:25,14.3,10
T063,S6,S5,1095,1162,18:15,19:22,68.0,30
T056,S11,S3,1116,1184,18:36,19:44,74.0,10
T087,S1,S2,1125,1139,18:45,18:59,15.0,15
T037,S5,S12,1139,1161,18:59,19:21,19.3,10
T113,S2,S9,1144,1188,19:04,19:48,43.8,10
T068,S3,S7,1157,1219,19:17,20:19,73.7,10
T076,S4,S12,1163,1251,19:23,20:51,71.9,30
T059,S8,S1,1164,1220,19:24,20:20,46.8,20
T060,S4,S11,1165,1234,19:25,20:34,60.7,30
T051,S8,S2,1186,1237,19:46,20:37,39.2,15
T028,S9,S11,1196,1255,19:56,20:55,66.6,10
T012,S9,S6,1201,1230,20:01,20:30,22.8,15
T026,S8,S10,1217,1259,20:17,20:59,40.7,15
T103,S8,S5,1218,1290,20:18,21:30,65.0,20
T065,S5,S10,1220,1279,20:20,21:19,48.2,15
T082,S9,S6,1228,1257,20:28,20:57,22.8,30
T074,S12,S11,1241,1256,20:41,20:56,14.1,10
T109,S9,S3,1250,1286,20:50,21:26,37.5,15
T011,S4,S11,1257,1326,20:57,22:06,60.7,20
T018,S3,S12,1257,1343,20:57,22:23,86.2,10
T101,S10,S2,1257,1274,20:57,21:14,14.3,20
T099,S1,S7,1258,1321,20:58,22:01,65.6,15
T120,S10,S5,1270,1330,21:10,22:10,48.2,15
T119,S8,S12,1275,1349,21:15,22:29,70.9,20
T115,S9,S12,1279,1372,21:19,22:52,74.0,10
T024,S3,S10,1282,1358,21:22,22:38,76.0,15
T022,S8,S5,1292,1364,21:32,22:44,65.0,30
T007,S8,S9,1297,1305,21:37,21:45,7.4,20
T070,S1,S8,1306,1349,21:46,22:29,46.8,10
T080,S2,S12,1311,1353,21:51,22:33,33.5,10
T043,S9,S11,1314,1373,21:54,22:53,66.6,10
T112,S11,S12,1318,1333,21:58,22:13,14.1,15
T078,S5,S10,1325,1384,22:05,23:04,48.2,20
T071,S10,S3,1346,1438,22:26,23:58,76.0,15
T049,S1,S9,1369,1426,22:49,23:46,49.5,30
T042,S6,S10,1377,1405,22:57,23:25,32.2,10
T077,S2,S8,1383,1429,23:03,23:49,39.2,20
T072,S2,S10,1388,1400,23:08,23:20,14.3,15
